quote,author,category
"I think that perhaps everyone has a moment that splits their life in two. When you look back on your own time line there's a sharp spike somewhere along the way, some event that changed you, changed your life more than the others. A moment that creates a before and an after. Maybe it's when you meet your love or you figure out your life's passion or you have your first child. Maybe it's something wonderful. Maybe it's something tragic. But when it happens it tints your memories, shifts your perspective on your own life and it suddenly seems as if everyone you've been through falls under the label of pre or post.","Taylor Jenkins Reid, One True Loves","love, memories, moments, perspective, tragic-love-story"
"When you are drowned by your sorry state, and you feel as if you are carried away from the road that leads to your desires, you should know that you are the one responsible for being led away from the right path.","Stephen Richards, Think Your way to Success: Let Your Dreams Run Free","law-of-attraction, mind-body-spirit, mind-power, money, motivational, new-age, new-thought, positive-thinking, self-empowerment, self-help, self-help-book, self-improvement, self-motivation, stephen-richards, wealth, wealth-creation, worthy"
"Ames clucked his tongue, “You know, not all of us are so evil minded. You’ve just met the wrong ones.” He meant guys. “You’re all the same.” I should know.“Not all of us,” he said too soft but I heard. “But judgment before proven can eat one up with anger. Sometimes you just have to take a chance. Trust someone.","Cyndi Goodgame, Denial","cyndi-goodgame, goblins, men, ya"
"The beautiful is as useful as the useful."" He added after a moment’s silence, ""Perhaps more so.","Victor Hugo, Les Misérables","beauty, utility"
"The luckiest people are the hardest working people."" - L. R. W. Lee",L.R.W. Lee,"life-experience, life-philosophy"
"When someone says to us, as Thich Nhat Hanh suggests, ""Darling, I care about your suffering,"" a deep healing begins.","Tara Brach, Radical Acceptance: Embracing Your Life With the Heart of a Buddha","care, empathy, healing, suffering"
"Olivia: ""Were you aiming at someone?""Alec: ""...God, I think...","Diane Chamberlain, Keeper of the Light",anger
"Almost-Sister, you picked a real catch.”“It was I who caught her,” Adam said softly. “It took years.","Patricia Briggs, Night Broken","paranormal-romance, romance, romantic, urban-fantasy"
I enjoy melancholic music and art. They take me to places I don't normally get to go.,"Criss Jami, Killosophy","art, creativity, exploration, gloom, happiness, joy, melancholy, music, peace, poetry, sadness, songwriting, transcendence, vacation"
"But besides that I was of an unforgiving disposition from my birth, slow to take offense, slower to forget it, and now incensed both against my companion and myself.","Robert Louis Stevenson, Kidnapped","forgiveness, unforgiveness, unforgiving"
"What holds you back is not fear, but your attitude towards it. The tighter you hold on to the attitude that fear is something ‘bad’ and you can’t do the things you want until it goes away, the more stuck you will be.","Russ Harris, The Confidence Gap","attitude, fear"
Worry is a misuse of the imagination.,Dan Zadra,worry
"There is always someone to forgive, if not another, than yourself.",Deborah L. Robinson,"faith, forgiveness, peace-of-mind, self-love"
"We study the past history, with the conscience of the present environmental changes; we can only predict the future ecological changes, by emergence of the past into the present.","Lailah Gifty Akita, Think Great: Be Great!","ecology, ecosystem-dynamics, environmental-change, historical-geology, history, limnology, palaeoclimate, palaeoecology, science"
"The first book I did - the first successful book - was a kind of a travel book, and publishers in Britain encouraged me to do more.",Bill Bryson,"Book, Successful, Me "
"It's not oil that runs the world, it's shame.","Sherman Alexie, War Dances","philosophy, racial-politics, social-commentary"
"Greed is mistaken nobility. Instead of robbing all the pain and hardship from people's lives and rescuing them from danger, greed robs provisions from providers.",Justin K. McFarlane Beau,"danger, greed, hardship, nobility, noble, pain, providers, provision"
"But that's how memory works,"" Bitterblue said quietly. ""Things disappear without your permission, then come back again without your permission."" And sometimes they came back incomplete and warped.","Kristin Cashore, Bitterblue","bitterblue, graceling, memories, wisdom"
Management is nothing more than motivating other people.,Lee Iacocca,"Management, People, Nothing "
Getting too interested in the English way of life won't help you land a permanent job.,"Mary  Ellis, A Marriage for Meghan","job, job-search, life"
Be the music of your soul. Don't be a pawn in someone else's game.,"Amit Ray, Nonviolence: The Transforming Power","game, inner-peace, inner-strength, inspiration, inspirational, life, life-and-living, life-experience, life-lesson, life-lessons, life-philosophy, lifestyle, music, pawn, self-awareness, self-confidence, self-help, self-improvement, self-love, self-realization"
"E.M. Ashford: And death shall be no more"" comma ""death, thou shalt die."" Nothing but a breath, a comma separates life from life everlasting.E.M. Ashford: Very simple, really. With the original punctuation restored Death is no longer something to act out on a stage with exclamation marks. It is a comma. A pause.E.M. Ashford: In this way, the uncompromising way one learns something from the poem, wouldn't you say? Life, death, soul, God, past present. Not insuperable barriers. Not semi-colons. Just a comma.",Margaret Ebson,"cancer, death, everlasting, god, life"
I cannot do everything  but still I can do something  and because I cannot do everything  I will not refuse to do something I can do.,Edward Everett Hale,"self, acceptance"
If the colour of life turns grey turn the palette the other way,"Benny Bellamacina, Piddly Poems for Children","children-s-books, humour, philosophical, poetry-quotes"
"I was on a path, and I became determined to give it everything I had — no matter what.","Eleanor Brownn, Mile 9: The true story of a lifelong couch potato who one day made a decision that changed everything","body-image, faith, fitness-inspiration, marathon, perseverance, success"
"Don't let Ron see what's on those Slytherin's badges,"" she whispered urgently.Harry looked questioningly at her, but she shook her head warningly; Ron had just ambled over to them, looking lost and desparate.""Good luck, Ron,"" said Hermione, standing on tiptoe and kissing him on the cheek. ""And you, Harry --""Ron seemed to come to himself slightly as they walked back across the Great Hall. He touched the spot on his face where Hermione had kissed him, looking puzzled, as though he was not quite sure what had just happened.","J.K. Rowling, Harry Potter and the Order of the Phoenix","hermione-granger, kiss, ron-weasley"
